term,papers,category,secondary,model,prompt_sha,created_at
knowledge summarization identify role,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515900+00:00
rank bddce practices,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515906+00:00
technical and economical evaluation,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515916+00:00
advance waste management,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515922+00:00
advance sdgs,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515925+00:00
nexus impact assessment,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515929+00:00
sample classification material recovery,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515932+00:00
competency overview,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515936+00:00
assess nature-based solutions,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515939+00:00
substitution by safer alternatives,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515945+00:00
edible protein production,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515950+00:00
add value to waste,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515954+00:00
circular building design,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515958+00:00
economic instruments,1,governance_institutional,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515965+00:00
assessment framework development,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515970+00:00
water sustainability assessment,1,environmental,methodological_knowledge,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515975+00:00
vfa and biogas production,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515982+00:00
sdg reporting,1,governance_institutional,methodological_knowledge,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515985+00:00
optimize ordering and pricing,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515989+00:00
categorize recycling concepts,1,methodological_knowledge,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515994+00:00
improve anticancer efficacy,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.515997+00:00
metal recovery industrial adoption,1,material_technical,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.516002+00:00
conceptualisation and strategies,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.516005+00:00
inter-organizational perception,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.516017+00:00
recover active molecules,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.516020+00:00
tackling social issues,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.516024+00:00
understanding public awareness and attitudes,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.516027+00:00
nitrogen removal wastewater treatment,1,environmental,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.516030+00:00
end-of-life assessment,1,methodological_knowledge,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.516034+00:00
achieving sdgs and net zero,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.516037+00:00
determine sustainability aspects,1,methodological_knowledge,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.516040+00:00
allocating environmental impacts,1,environmental,methodological_knowledge,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.516046+00:00
materialization of circular economy,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.516050+00:00
renewable energy yields,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.516056+00:00
detect and characterise,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.516060+00:00
bionanotechnological applications,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.516066+00:00
lipase production,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:26:58.516070+00:00
value identification,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108275+00:00
metal recovery and purification,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108306+00:00
energy dissipation,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108310+00:00
assess collaborative business models,1,economic_business,governance_institutional,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108315+00:00
fault diagnosis,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108319+00:00
prioritize challenges,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108323+00:00
prioritize adoption barriers,1,methodological_knowledge,social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108326+00:00
conversion to products,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108330+00:00
optoelectronic applications,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108334+00:00
energy sufficiency,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108338+00:00
health promotion,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108342+00:00
remediation potential,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108345+00:00
inclusive urban transformation,1,general_cross_domain,social_behavioral_educational|governance_institutional,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108350+00:00
define conceptual framework,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108354+00:00
encourage critical research,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108358+00:00
optimal ce strategy,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108361+00:00
energy generation economic activities,1,economic_business,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108365+00:00
circularity and value retention,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108368+00:00
estimate nutritional value,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108372+00:00
valorization of discards,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108376+00:00
reducing natural resources consumption,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108379+00:00
reuse value creation,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108382+00:00
resource-based to circular economy,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108387+00:00
identify sectoral differences,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108391+00:00
promote academic research,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108394+00:00
biogas and biomethane solutions,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108398+00:00
improving consistency,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108401+00:00
identify consequences,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108405+00:00
pollutant removal climate mitigation,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108409+00:00
sustainable electronics,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108412+00:00
alternative protein sources,1,material_technical,social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108416+00:00
waste valorization cleaner production,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108419+00:00
succinic acid production,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108423+00:00
minimize total distance improve utilization,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108426+00:00
assess food system circularity,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108430+00:00
popularizing these products,1,social_behavioral_educational,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108433+00:00
highlight trends,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108437+00:00
analyze scientific debate,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108441+00:00
increase methane yield organic matter solubilization,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108444+00:00
adoption of new food technologies,1,social_behavioral_educational,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:01.108448+00:00
adsorption antimicrobial activity material valorization,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.602921+00:00
circular logistics integration,1,material_technical,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603088+00:00
coherent strategy design,1,governance_institutional,methodological_knowledge,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603094+00:00
enable multiple lifecycles,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603099+00:00
reuse information conveyance,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603142+00:00
competency identification,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603147+00:00
promoting consumption patterns,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603222+00:00
holistic management and recycling,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603227+00:00
systematize adoption,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603238+00:00
collective imagination,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603243+00:00
reuse polymer waste,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603247+00:00
marine waste valorization,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603258+00:00
precision cancer therapy,1,material_technical,social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603268+00:00
nutrient-recycling through bioconversion,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603273+00:00
abiotic reduction reactions,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603277+00:00
supply chain collaboration,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603290+00:00
comprehension of mutual implications,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603307+00:00
ce readiness assessment,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603312+00:00
waste to resource management,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603332+00:00
increase mp implementation,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603337+00:00
sdg contribution,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603341+00:00
examine factors of spp,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603351+00:00
maximize extraction,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603367+00:00
decision problem solving,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603379+00:00
biomass production prediction,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603384+00:00
upscaling sector,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603388+00:00
sufficiency innovation,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603398+00:00
structural integrity,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603415+00:00
self-healing behavior,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603419+00:00
societal need for a shift,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603452+00:00
sustainable use ecosystems,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603457+00:00
ce implementation and investment,1,economic_business,governance_institutional,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603461+00:00
documenting benefits,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603465+00:00
bioactive compound delivery,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603468+00:00
viable business solution,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603472+00:00
eco-friendly synthesis,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603483+00:00
identify transition barriers,1,methodological_knowledge,social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603487+00:00
outsourcing logistics operations,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603510+00:00
fuels and chemicals,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603515+00:00
predictive maintenance,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:04.603545+00:00
systematize indicators and indices,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912632+00:00
holistic nutrient management,1,environmental,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912741+00:00
understand attributes,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912753+00:00
circular economy benchmark,1,methodological_knowledge,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912757+00:00
systematize journal articles,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912798+00:00
mission fulfilment,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912807+00:00
define corporate sustainability,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912810+00:00
controlled organization of electroactive materials,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912819+00:00
embodied energy reduction,1,environmental,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912822+00:00
electroanalytical sensor development,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912832+00:00
theoretical model development,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912836+00:00
monitoring circularity,1,methodological_knowledge,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912852+00:00
cell-autonomous immunity,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912856+00:00
resolve mixed results,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912859+00:00
incorporates sustainability practices,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912873+00:00
ecosystem sustainability,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912902+00:00
ce governance effectiveness,1,governance_institutional,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912907+00:00
guiding principles development,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912910+00:00
analyzing empirical evidence,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912919+00:00
global warming impacts,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912947+00:00
highlight bioactive components,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.912959+00:00
adoption of ce patterns,1,social_behavioral_educational,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.913023+00:00
economic value gain,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.913057+00:00
advance ce design,1,material_technical,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.913068+00:00
high value-added utilization,1,economic_business,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.913087+00:00
reduced trade increased trade job creation,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.913102+00:00
identify roles of dt,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.913111+00:00
foster modular ce,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.913115+00:00
evaluate circular initiatives,1,ambiguous_context_required,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.913119+00:00
biotransformations using pet,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.913122+00:00
develop typology of architectures,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.913126+00:00
perceptions understanding,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.913129+00:00
increase oxygen barrier,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.913145+00:00
decoupling material use,1,environmental,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.913169+00:00
knowledge review research comprehension,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.913173+00:00
document application of ce practices,1,methodological_knowledge,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.913193+00:00
detection and quantitation,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.913197+00:00
quantifying carbon footprints,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.913205+00:00
identify barrier impacts,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.913227+00:00
automated dismantling,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:07.913237+00:00
maximize collection and recycling,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117014+00:00
sustainable reuse of components,1,material_technical,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117116+00:00
asset valorization,1,economic_business,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117137+00:00
prevent compromised concept,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117142+00:00
evaluate technical and economic situation,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117146+00:00
establishing ce,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117149+00:00
resource dependency reduction,1,environmental,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117183+00:00
tuneable property thermosets,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117187+00:00
material recover,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117190+00:00
soil organic matter,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117199+00:00
energy self-independence,1,environmental,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117216+00:00
vfa separation and recovery,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117220+00:00
awb valorization,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117234+00:00
foster city circularity,1,general_cross_domain,governance_institutional,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117241+00:00
green catalysts,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117248+00:00
stock maintenance,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117252+00:00
identify drivers,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117264+00:00
determine dependency,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117297+00:00
sustainability discourses,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117309+00:00
identify facilitating factors,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117311+00:00
solve societal problems,1,social_behavioral_educational,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117329+00:00
establish quality parameters,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117341+00:00
design and construction of helical architectures,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117343+00:00
scholarly bullshit,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117349+00:00
understand self-assembly,1,methodological_knowledge,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117354+00:00
recover chemical feedstock,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117356+00:00
recovery of fluorinated refrigerant gases,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117357+00:00
cancer imaging,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117378+00:00
socio-economic benefits quantification,1,economic_business,social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117379+00:00
soil redevelopment,1,environmental,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117381+00:00
linking ce with sdgs,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117382+00:00
structural order,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117389+00:00
sustainability targets attainment,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117390+00:00
evaluate dehydration decarbonation gas evolution,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117391+00:00
mapping and analysis,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117408+00:00
plastics classification,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117409+00:00
improved financial efficiency,1,economic_business,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117415+00:00
photocatalytic efficiency,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117416+00:00
functional supramolecular biomaterial,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117423+00:00
feedstock utilization,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:10.117424+00:00
synthesis of bio-based amines,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595242+00:00
decentralized network design,1,methodological_knowledge,governance_institutional,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595306+00:00
biogas purification,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595319+00:00
drive more impactful innovation,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595325+00:00
self-replication,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595331+00:00
ce-sdg relationships,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595337+00:00
circularity,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595350+00:00
address unintended side effects,1,methodological_knowledge,social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595355+00:00
sustainable value evaluation,1,general_cross_domain,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595361+00:00
induce thermoplasticity,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595366+00:00
targeted effects,1,ambiguous_context_required,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595390+00:00
bioavailability,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595396+00:00
critical factor identification,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595408+00:00
research insights and trends,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595419+00:00
circular economy index construction,1,methodological_knowledge,general_cross_domain,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595428+00:00
redefine principles,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595438+00:00
host-guest interactions,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595443+00:00
indicator selection process,1,methodological_knowledge,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595452+00:00
energetic and adsorption properties evaluation volatile organic compounds sorption,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595462+00:00
define deconstruction information model,1,methodological_knowledge,material_technical,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595470+00:00
feasibility of preparing backfill materials,1,material_technical,environmental,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595475+00:00
shift to access consumption,1,social_behavioral_educational,economic_business,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595480+00:00
urban strategy development,1,governance_institutional,environmental|social_behavioral_educational,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595493+00:00
polymer cracking,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595501+00:00
enzyme reusability,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595514+00:00
controlled structures,1,material_technical,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595522+00:00
improve attitudes and actions,1,social_behavioral_educational,,google/gemini-2.5-flash-lite,745390efacba,2026-07-16T08:27:13.595528+00:00
